테이블명,칼럼명,칼럼 ID,타입 및 길이,PK,Not null,FK,기본값,특성,제약조건
Member,ID,"memberId  ",int,Yes,Yes,No,1,AUTO_INCREMENT,
,Email,email,varchar(40),No,Yes,No,,,
,Name,name,varchar(10),No,Yes,No,,,
,Password,password,varchar(18),No,Yes,No,,,
,Image,image,varchar(255),No,No,No,,,
,Point,point,int,No,Yes,No,0,,
,,,,No,No,No,,,
Place,Place,placeId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,ID,memberId,int,No,Yes,Yes,,,
,Latitude,lat,double,No,Yes,No,,,
,Longtitude,longi,double,No,Yes,No,,,
,Date,createdAt,datetime,No,No,No,,,
,PlaceName,placeName,varchar(50),No,No,No,,,
,,,,No,No,No,,,
Challenge,ID,challengeId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,ID,memberId,int,No,Yes,Yes,,,
,Title,title,int,No,Yes,No,,,
,Content,content,text,No,No,No,,,
,Date,createdAt,datetime,No,Yes,No,,,
,,,,No,No,No,,,
Reply,Reply,replyId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,ID,memberId,int,No,Yes,Yes,,,
,ID,challengeId,int,No,Yes,Yes,,,
,Content,content,text,No,No,No,,,
,Date,createdAt,datetime,No,Yes,No,,,
,,,,No,No,No,,,
Like,Like,likeId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,ID,memberId,int,No,No,Yes,,,
,ID,productId,int,No,No,Yes,,,
,,,,No,No,No,,,
Product,Product,productId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,Productname,productName,varchar(50),No,Yes,No,,,
,Detail,detail,text,No,No,No,,,
,Price,price,int,No,No,No,,,
,Store,storeLink,varchar(255),No,Yes,No,,,
,Image,image,varchar(255),No,No,No,,,
,Category,category,varchar(10),No,Yes,No,,,
,,,,No,No,No,,,
Review,Review,reviewId,int,Yes,Yes,No,1,AUTO_INCREMENT,
,ID,memberId,int,No,Yes,Yes,,,
,ID,productId,int,No,Yes,Yes,,,
,Context,context,text,No,Yes,No,,,
,Image,image,varchar(255),No,No,No,,,
,Datetime,createdAt,datetime,No,Yes,No,,,
,,,,No,No,No,,,
Image,Image,imageId,int,Yes,Yes,No,,,
,Product,productId,int,No,No,Yes,,,
,Review,reviewId,int,No,No,Yes,,,
,Image,imageUri,varchar(255),No,Yes,No,,,