요구사항 ID,요구사항 명,요구사항,중요도,비고,기능,구분
m-01,회원가입,"- email과 이름은 중복되어선 안된다.
- 비밀번호는 암호화 되어야 한다.                    
 - 회원 가입 정보에는 이름(displayName)과 Email, Password를 입력받아야한다.          
- 유효성 검증을 거친다. (이름/이메일/패스워드)  
- 중복검사와 유효성 검증을 완료 했다면 DB에 회원 정보를 저장한다.
- 에러 메시지 전달 여부                                                   ",상,"- 회원가입 완료시 로그인 페이지로 이동한다.
- 이름은 공백 불가, null 값 불가, 3글자 이상, 특수문자 불가
-표시 이름은 문자, 숫자, 공백, 아포스트로피 또는 하이픈만 포함할 수 있으며 문자 또는 숫자로 시작해야 합니다.",회원 가입,기능
m-02,"이메일, 비밀번호",- 올바른 이메일과 비밀번호를 입력하여야 한다,상,,로그인,
m-03,OAuth 로그인,,중,,로그인,
m-04,본인 정보 조회,"- 이름, 이메일, 포인트, 작성한 리뷰, 작성한 챌린지",상,,마이페이지,
m-05,본인 정보 수정,"- 이름, 비밀번호 수정",중,"
 ",마이페이지,
p-01,전체 물품 조회,"- 물품명, 사진, 가격",상,,Shop,
p-02,물품 상세페이지 조회,"- 물품명, 사진, 설명, 실제 판매 링크, 줄인 탄소량, 가격",상,,Shop,
p-03,관심 등록,- 상품 목록 페이지에서 ❤를 누르면 관심 목록 페이지에 추가 !!!,중,,Shop,
p-04,상품 검색,- 검색을 통한 물품 찾기,상,,"shop ",
p-05,필터링(카테고리),"- 욕실, 주방, 생활, 문구, 위생",상,,shop,
p-06,리뷰 등록,- 내용,상,,shop-물품상세,
p-07,리뷰 등록,- 사진,중,,,
p-08,리뷰 조회,- 선택한 물품의 리뷰 조회,상,"- 각 리뷰 조회 내용: 작성자 명, 작성자 포인트, 내용, (사진)",shop-물품상세,
p-09,리뷰 수정,- 자신이 작성한 리뷰만 수정 가능,중,,shop-물품상세,
p-10,리뷰 삭제,- 자신이 작성한 리뷰만 삭제 가능,중,,shop-물품상세,
p-11,쇼핑몰,"- 광고배너, 물품 배너 조회",상,,메인페이지,
c-01,챌린지 게시판,- 챌린지에 참여하면 마일리지가 추가된다.,상,,커뮤니티,
c03,"챌린지 참여 등록, 취소","- 챌린지를 등록하면 일정 마일리지가 차감된다. ",중,포인트가 N 이상인 회원만 챌린지 등록 가능,커뮤니티,
c-03,챌린지 상세 페이지,"- 제목, 내용",상,,커뮤니티,
c-04,챌린지 작성 페이지,"- 글 제목, 내용",상,,커뮤니티,
c-05,챌린지 삭제,-삭제 버튼 누를 시 삭제,중,,커뮤니티,
c-06,챌린지 수정 페이지,-기존 글 내용 수정,하,,커뮤니티,
c-07,챌린지 댓글,- 댓글 내용과 글 내용 일치시 참여 완료,중,,커뮤니티,
map-01,지도 등록,"- 매장명, 위도, 경도",상,,지도,
map-02,지도 삭제,,상,,지도,
map-03,지도 조회,"- 매장명, 위도, 경도",상,,지도,